,movieId,rating
0,19995,5
1,285,4
2,206647,4
3,49026,3
4,49529,4
5,559,4
6,559,4
7,99861,4
8,767,3
9,767,3
10,209112,4
11,1452,5
12,10764,4
13,58,4
14,57201,4
15,49521,5
16,2454,3
17,24428,4
18,1865,4
19,41154,4
20,122917,4
21,1930,4
22,20662,4
23,57158,4
24,2268,4
25,254,4
26,271110,4
27,271110,4
28,44833,4
29,135397,4
30,135397,4
31,37724,3
32,558,4
33,68721,4
34,68721,4
35,12155,3
36,36668,4
37,8373,4
38,91314,4
39,91314,4
40,68728,3
41,102382,4
42,20526,4
43,44912,4
44,534,3
45,168259,3
46,72190,3
47,127585,5
48,54138,4
49,81005,3
50,9543,4
51,68726,4
52,38356,4
53,217,4
54,62177,4
55,188927,4
56,5174,3
57,14161,5
58,14161,4
59,76757,5
60,76757,5
61,258489,4
62,411,3
63,411,3
64,246655,3
65,155,3
66,15512,3
67,1726,4
68,8487,4
69,1735,4
70,1735,4
71,297761,5
72,297761,5
73,137113,4
74,9804,4
75,14869,4
76,150540,2
77,278927,3
78,10138,4
79,58595,4
80,102651,3
81,102651,3
82,119450,3
83,119450,3
84,79698,4
85,64686,4
86,100402,4
87,100402,4
88,10192,3
89,158852,3
90,177572,3
91,82690,3
92,5255,3
93,47933,4
94,10191,3
95,10191,3
96,296,3
97,118340,4
98,157336,4
99,157336,4
100,27205,4
101,315011,4
102,315011,4
103,49051,4
104,9799,3
105,49538,4
106,131634,4
107,27022,4
108,503,3
109,241259,3
110,810,3
111,68735,4
112,87101,4
113,10140,3
114,10140,3
115,1858,4
116,1966,3
117,675,3
118,674,3
119,8960,4
120,118,3
121,272,4
122,18360,4
123,2080,4
124,605,4
125,109445,3
126,604,4
127,604,4
128,76338,4
129,76338,4
130,76341,4
131,10195,4
132,13053,3
133,19585,4
134,19585,4
135,57165,3
136,62213,3
137,177677,3
138,177677,3
139,7978,1
140,5559,3
141,10196,4
142,956,3
143,11619,3
144,266647,3
145,652,3
146,36669,3
147,43074,4
148,95,4
149,95,4
150,608,4
151,2310,4
152,140300,3
153,56292,3
154,56292,3
155,81188,3
156,616,3
157,616,3
158,147441,4
159,13475,4
160,557,4
161,82702,4
162,82702,4
163,205584,3
164,205584,3
165,10048,3
166,13183,4
167,944,4
168,944,4
169,1927,4
170,72559,4
171,7364,4
172,2114,4
173,1771,4
174,36643,3
175,8619,3
176,50620,3
177,1724,4
178,267935,3
179,9502,3
180,102899,4
181,102899,4
182,101299,4
183,228161,3
184,74,3
185,8961,4
186,8961,4
187,417859,4
188,27576,3
189,86834,3
190,86834,3
191,17578,3
192,673,3
193,82700,4
194,181533,3
195,38055,3
196,671,3
197,671,3
198,49524,4
199,22,4
200,131631,3
201,591,2
202,172385,3
203,36658,4
204,51497,3
205,51497,3
206,58574,4
207,18823,4
208,861,4
209,861,4
210,1911,4
211,415,3
212,415,4
213,435,4
214,955,3
215,955,3
216,1979,3
217,1979,4
218,87827,4
219,324668,3
220,9471,4
221,70981,4
222,68724,3
223,2789,4
224,97020,4
225,97020,4
226,7459,3
227,37834,3
228,75612,4
229,1895,4
230,1894,4
231,76170,5
232,1893,4
233,49519,3
234,2395,2
235,2395,3
236,12100,3
237,290595,4
238,98566,5
239,49047,3
240,9619,3
241,308531,4
242,166424,4
243,1593,4
244,714,3
245,2024,3
246,262500,3
247,38745,3
248,40805,4
249,40805,4
250,53182,3
251,41513,3
252,262504,4
253,39254,4
254,1639,3
255,80274,4
256,120,4
257,10204,4
258,10588,3
259,2048,4
260,1495,4
261,286217,4
262,286217,4
263,1635,4
264,9679,3
265,9679,3
266,98,4
267,180,3
268,180,3
269,672,3
270,36557,3
271,869,4
272,280,3
273,11322,3
274,4982,3
275,18487,2
276,27581,4
277,10545,3
278,11688,3
279,11688,3
280,76163,3
281,2059,3
282,2059,3
283,2486,4
284,116711,3
285,9946,3
286,106646,3
287,106646,3
288,414,4
289,563,4
290,563,4
291,83542,3
292,41216,3
293,41216,3
294,314,4
295,184315,4
296,9016,4
297,18162,4
298,138103,3
299,257088,3
300,257088,3
301,10214,3
302,205775,3
303,11692,4
304,22972,3
305,227973,3
306,1734,4
307,3131,3
308,9890,4
309,855,3
310,77953,3
311,18,4
312,10501,3
313,7980,2
314,7980,3
315,12,2
316,122,4
317,121,4
318,121,4
319,68737,4
320,1995,4
321,331,4
322,61791,3
323,8204,3
324,8204,3
325,9806,3
326,1408,4
327,32657,3
328,607,4
329,44048,3
330,5175,3
331,2655,1
332,116745,4
333,116745,4
334,4327,3
335,4327,4
336,7446,3
337,10528,4
338,10865,3
339,258509,2
340,10661,3
341,257344,4
342,644,4
343,686,3
344,9383,3
345,9383,3
346,179,3
347,76285,3
348,1996,4
349,1996,4
350,291805,4
351,291805,4
352,10003,3
353,1535,3
354,2067,3
355,2277,3
356,10357,3
357,10357,3
358,9387,4
359,921,2
360,49852,3
361,664,4
362,664,4
363,8358,3
364,2502,2
365,9772,3
366,52451,3
367,76492,3
368,59108,3
369,59108,3
370,22897,2
371,157350,4
372,10159,3
373,9593,4
374,9615,3
375,297,2
376,297,3
377,62764,4
378,22538,4
379,22538,4
380,9341,4
381,12107,3
382,9637,3
383,9637,3
384,49049,4
385,9339,3
386,16281,3
387,39691,1
388,8247,4
389,11253,4
390,8452,3
391,310,3
392,27578,3
393,954,3
394,70160,4
395,70160,4
396,364,4
397,7518,2
398,9986,3
399,146216,3
400,55301,3
401,109418,3
402,6964,2
403,754,4
404,754,4
405,4147,3
406,1701,3
407,1701,3
408,20504,3
409,9574,3
410,2300,3
411,12096,3
412,228150,3
413,6068,3
414,2157,3
415,2135,4
416,2135,4
417,9822,4
418,9822,4
419,9705,3
420,1656,4
421,12159,3
422,9678,2
423,4442,4
424,75,4
425,9433,4
426,19959,3
427,11228,3
428,11228,3
429,5491,4
430,9562,4
431,9922,3
432,9447,3
433,274854,4
434,8870,3
435,9992,3
436,9992,3
437,10077,4
438,76649,3
439,76649,3
440,453,2
441,8587,2
442,72545,4
443,2023,3
444,584,3
445,309809,4
446,309809,4
447,4858,3
448,17711,3
449,328111,2
450,8698,4
451,602,4
452,602,4
453,330,4
454,953,2
455,9693,3
456,36657,4
457,36657,4
458,8909,3
459,9802,3
460,950,3
461,332,4
462,332,3
463,15189,2
464,11678,3
465,4551,3
466,9567,3
